Case_Main_Type,Secondary_Type,Case_sub_type,Location,person_ID,Lawyer_ID_1,Lawyer_ID_2,Judge_ID,Case_ID
עבודה )לרבות ענף הסיעוד( ולימודים,סיעוד הארכת אשרת ב/1 סיעודי,,Beer Sheva,214,878759624,878816362,,
אשרת תייר,סירוב מתן אשרת תייר )כאשר העורר מצוי בארצו(,,Beer Sheva,215,858695741,858752479,,
הרחקה מישראל,אי מתן מענה,,Haifa,216,123456745,123513483,,
אשרת תייר,סירוב הארכת אשרה או רישיון ביקור מסוג ב2( אשרת תייר(,,Tel Aviv,217,555968574,556025312,,
איחוד משפחות,הסדרת מעמד לבן זוג זר הנשוי לאזרח ישראלי לפי נוהל מס' 0008.2.5,got from jerusalem orer not live in jerusalem,Jerusalem,218,441236589,441293327,,
רישום ילדים,רישום ומתן מעמד לקטין שנולד מחוץ לישראל שרק אחד מהוריו רשום כתושב קבע נוהל 5.2.0030 'מס,,Jerusalem,219,451263965,451320703,,
מקלט,דחיית בקשת מקלט לפי סעיף 7 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Jerusalem,220,441663723,441720461,,
עבודה )לרבות ענף הסיעוד( ולימודים,בקשת עובד זר לעבור בין ענפים,,Jerusalem,221,404160630,404217368,,
זיקה לחוק השבות,מעמד לנין של יהודי לפי נוהל מס' 0027.2.5,,Jerusalem,222,745263965,745320703,,
התאזרחות,בקשה להשלמת הליך התאזרחות מכוח סעיף 7 לחוק האזרחות,,Jerusalem,223,876521439,876578177,,
תושבות,נוהל פקיעת רישיון לישיבת קבע מס' 0018.2.5,,Tel Aviv,224,112445963,112502701,,
מחוסרי אזרחות / העדר מסמכי נסיעה,העדר מסמכי נסיעה,,Tel Aviv,225,232695804,232752542,,
הומניטרי,מעמד לנפגעי עבדות /סחר לעבודות כפייה/ סחר בנשים לפי נוהל מס' 0008.3.6,not got Jerusalem,Jerusalem,226,152683596,152740334,,
כניסה לישראל,"סירוב כניסה לישראל כאשר העורר שוהה בנתב""ג או במעבר גבול אחר",,Tel Aviv,227,965687452,965744190,,
הרחקה מישראל,אי מתן מענה,,Tel Aviv,228,569235681,569292419,,
אשרת תייר,סירוב הארכת אשרה או רישיון ביקור מסוג ב2( אשרת תייר(,,Beer Sheva,229,589631405,589688143,,
איחוד משפחות,מעמד לקטין נלווה להליך מדורג,got from jerusalem orer live in jerusalem,Jerusalem,230,526384560,526441298,,
רישום ילדים,רישום ומתן מעמד לקטין שנולד בישראל שרק אחד מהוריו תושב קבע לפי תקנה 12 לתקנות הכניסה לישראל נוהל מס' 0029.2.5,,Jerusalem,231,229985636,230042374,,
מקלט,דחיית בקשת מקלט לפי סעיף 4 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Jerusalem,232,778596402,778653140,,
עבודה )לרבות ענף הסיעוד( ולימודים,בקשת עובד זר לעבור בין ענפים,,Haifa,233,639685502,639742240,,
זיקה לחוק השבות,פלשמורה,,Haifa,234,490365804,490422542,,
כניסה לישראל,"סירוב כניסה לישראל כאשר העורר שוהה בנתב""ג או במעבר גבול אחר",,Tel Aviv,235,87799888,87856626,,
כניסה לישראל,אי מתן מענה,,Tel Aviv,236,234568505,234625243,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight this week,Tel Aviv,237,369595806,369652544,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight 24hrs,Tel Aviv,238,206085401,206142139,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight this week,Tel Aviv,239,309085605,309142343,,
איחוד משפחות,בקשה לשדרוג מעמד,got from jerusalem orer not live in jerusalem,Jerusalem,240,805263506,805320244,,
איחוד משפחות,מעמד לקטין נלווה להליך מדורג,got from jerusalem orer not live in jerusalem,Jerusalem,241,123456789,123513527,,
עבודה )לרבות ענף הסיעוד( ולימודים,מתן והארכת רישיון שהייה מסוג א/2 לתלמידים ולסטודנטים זרים,,Beer Sheva,242,852964371,853021109,,
התאזרחות,אי מתן מענה,,Haifa,243,784554872,784611610,,
זיקה לחוק השבות,פלשמורה,,Haifa,244,306295841,306352579,,
הומניטרי,מעמד ילדי זרים,got Jerusalem,Jerusalem,245,629584317,629641055,,
מקלט,דחיית בקשת מקלט לפי סעיף 1 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Tel Aviv,246,878759624,878816362,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight 24hrs,Tel Aviv,247,858695741,858752479,,
עבודה )לרבות ענף הסיעוד( ולימודים,סיעוד הארכת אשרת ב/1 סיעודי,,Beer Sheva,248,123456745,123513483,,
אשרת תייר,סירוב מתן אשרת תייר )כאשר העורר מצוי בארצו(,,Beer Sheva,249,555968574,556025312,,
הרחקה מישראל,אי מתן מענה,,Haifa,250,441236589,441293327,,
אשרת תייר,סירוב הארכת אשרה או רישיון ביקור מסוג ב2( אשרת תייר(,,Tel Aviv,251,451263965,451320703,,
איחוד משפחות,הסדרת מעמד לבן זוג זר הנשוי לאזרח ישראלי לפי נוהל מס' 0008.2.5,got from jerusalem orer not live in jerusalem,Jerusalem,252,441663723,441720461,,
רישום ילדים,רישום ומתן מעמד לקטין שנולד מחוץ לישראל שרק אחד מהוריו רשום כתושב קבע נוהל 5.2.0030 'מס,,Jerusalem,253,404160630,404217368,,
מקלט,דחיית בקשת מקלט לפי סעיף 7 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Jerusalem,254,745263965,745320703,,
עבודה )לרבות ענף הסיעוד( ולימודים,בקשת עובד זר לעבור בין ענפים,,Jerusalem,255,876521439,876578177,,
זיקה לחוק השבות,מעמד לנין של יהודי לפי נוהל מס' 0027.2.5,,Jerusalem,256,112445963,112502701,,
התאזרחות,בקשה להשלמת הליך התאזרחות מכוח סעיף 7 לחוק האזרחות,,Jerusalem,257,232695804,232752542,,
תושבות,נוהל פקיעת רישיון לישיבת קבע מס' 0018.2.5,,Tel Aviv,258,152683596,152740334,,
מחוסרי אזרחות / העדר מסמכי נסיעה,העדר מסמכי נסיעה,,Tel Aviv,259,965687452,965744190,,
הומניטרי,מעמד לנפגעי עבדות /סחר לעבודות כפייה/ סחר בנשים לפי נוהל מס' 0008.3.6,not got Jerusalem,Jerusalem,260,569235681,569292419,,
כניסה לישראל,"סירוב כניסה לישראל כאשר העורר שוהה בנתב""ג או במעבר גבול אחר",,Tel Aviv,261,589631405,589688143,,
הרחקה מישראל,אי מתן מענה,,Tel Aviv,262,526384560,526441298,,
אשרת תייר,סירוב הארכת אשרה או רישיון ביקור מסוג ב2( אשרת תייר(,,Beer Sheva,263,229985636,230042374,,
איחוד משפחות,מעמד לקטין נלווה להליך מדורג,got from jerusalem orer live in jerusalem,Jerusalem,264,778596402,778653140,,
רישום ילדים,רישום ומתן מעמד לקטין שנולד בישראל שרק אחד מהוריו תושב קבע לפי תקנה 12 לתקנות הכניסה לישראל נוהל מס' 0029.2.5,,Jerusalem,265,639685502,639742240,,
מקלט,דחיית בקשת מקלט לפי סעיף 4 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Jerusalem,266,490365804,490422542,,
עבודה )לרבות ענף הסיעוד( ולימודים,בקשת עובד זר לעבור בין ענפים,,Haifa,267,87799888,87856626,,
זיקה לחוק השבות,פלשמורה,,Haifa,268,234568505,234625243,,
כניסה לישראל,"סירוב כניסה לישראל כאשר העורר שוהה בנתב""ג או במעבר גבול אחר",,Tel Aviv,269,369595806,369652544,,
כניסה לישראל,אי מתן מענה,,Tel Aviv,270,206085401,206142139,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight this week,Tel Aviv,271,309085605,309142343,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight 24hrs,Tel Aviv,272,805263506,805320244,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight this week,Tel Aviv,273,123456789,123513527,,
איחוד משפחות,בקשה לשדרוג מעמד,got from jerusalem orer not live in jerusalem,Jerusalem,274,852964371,853021109,,
איחוד משפחות,מעמד לקטין נלווה להליך מדורג,got from jerusalem orer not live in jerusalem,Jerusalem,275,784554872,784611610,,
עבודה )לרבות ענף הסיעוד( ולימודים,מתן והארכת רישיון שהייה מסוג א/2 לתלמידים ולסטודנטים זרים,,Beer Sheva,276,306295841,306352579,,
התאזרחות,אי מתן מענה,,Haifa,277,629584317,629641055,,
זיקה לחוק השבות,פלשמורה,,Haifa,278,878759624,878816362,,
הומניטרי,מעמד ילדי זרים,got Jerusalem,Jerusalem,279,858695741,858752479,,
מקלט,דחיית בקשת מקלט לפי סעיף 1 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Tel Aviv,280,123456745,123513483,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight 24hrs,Tel Aviv,281,555968574,556025312,,
עבודה )לרבות ענף הסיעוד( ולימודים,סיעוד הארכת אשרת ב/1 סיעודי,,Beer Sheva,282,441236589,441293327,,
אשרת תייר,סירוב מתן אשרת תייר )כאשר העורר מצוי בארצו(,,Beer Sheva,283,451263965,451320703,,
הרחקה מישראל,אי מתן מענה,,Haifa,284,441663723,441720461,,
אשרת תייר,סירוב הארכת אשרה או רישיון ביקור מסוג ב2( אשרת תייר(,,Tel Aviv,285,404160630,404217368,,
איחוד משפחות,הסדרת מעמד לבן זוג זר הנשוי לאזרח ישראלי לפי נוהל מס' 0008.2.5,got from jerusalem orer not live in jerusalem,Jerusalem,286,745263965,745320703,,
רישום ילדים,רישום ומתן מעמד לקטין שנולד מחוץ לישראל שרק אחד מהוריו רשום כתושב קבע נוהל 5.2.0030 'מס,,Jerusalem,287,876521439,876578177,,
מקלט,דחיית בקשת מקלט לפי סעיף 7 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Jerusalem,288,112445963,112502701,,
עבודה )לרבות ענף הסיעוד( ולימודים,בקשת עובד זר לעבור בין ענפים,,Jerusalem,289,232695804,232752542,,
זיקה לחוק השבות,מעמד לנין של יהודי לפי נוהל מס' 0027.2.5,,Jerusalem,290,152683596,152740334,,
התאזרחות,בקשה להשלמת הליך התאזרחות מכוח סעיף 7 לחוק האזרחות,,Jerusalem,291,965687452,965744190,,
תושבות,נוהל פקיעת רישיון לישיבת קבע מס' 0018.2.5,,Tel Aviv,292,569235681,569292419,,
מחוסרי אזרחות / העדר מסמכי נסיעה,העדר מסמכי נסיעה,,Tel Aviv,293,589631405,589688143,,
הומניטרי,מעמד לנפגעי עבדות /סחר לעבודות כפייה/ סחר בנשים לפי נוהל מס' 0008.3.6,not got Jerusalem,Jerusalem,294,526384560,526441298,,
כניסה לישראל,"סירוב כניסה לישראל כאשר העורר שוהה בנתב""ג או במעבר גבול אחר",,Tel Aviv,295,229985636,230042374,,
הרחקה מישראל,אי מתן מענה,,Tel Aviv,296,778596402,778653140,,
אשרת תייר,סירוב הארכת אשרה או רישיון ביקור מסוג ב2( אשרת תייר(,,Beer Sheva,297,639685502,639742240,,
איחוד משפחות,מעמד לקטין נלווה להליך מדורג,got from jerusalem orer live in jerusalem,Jerusalem,298,490365804,490422542,,
רישום ילדים,רישום ומתן מעמד לקטין שנולד בישראל שרק אחד מהוריו תושב קבע לפי תקנה 12 לתקנות הכניסה לישראל נוהל מס' 0029.2.5,,Jerusalem,299,87799888,87856626,,
מקלט,דחיית בקשת מקלט לפי סעיף 4 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Jerusalem,300,234568505,234625243,,
עבודה )לרבות ענף הסיעוד( ולימודים,בקשת עובד זר לעבור בין ענפים,,Haifa,301,369595806,369652544,,
זיקה לחוק השבות,פלשמורה,,Haifa,302,206085401,206142139,,
כניסה לישראל,"סירוב כניסה לישראל כאשר העורר שוהה בנתב""ג או במעבר גבול אחר",,Tel Aviv,303,309085605,309142343,,
כניסה לישראל,אי מתן מענה,,Tel Aviv,304,805263506,805320244,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight this week,Tel Aviv,305,123456789,123513527,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight 24hrs,Tel Aviv,306,852964371,853021109,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight this week,Tel Aviv,307,784554872,784611610,,
איחוד משפחות,בקשה לשדרוג מעמד,got from jerusalem orer not live in jerusalem,Jerusalem,308,306295841,306352579,,
איחוד משפחות,מעמד לקטין נלווה להליך מדורג,got from jerusalem orer not live in jerusalem,Jerusalem,309,629584317,629641055,,
עבודה )לרבות ענף הסיעוד( ולימודים,מתן והארכת רישיון שהייה מסוג א/2 לתלמידים ולסטודנטים זרים,,Beer Sheva,310,878759624,878816362,,
התאזרחות,אי מתן מענה,,Haifa,311,858695741,858752479,,
זיקה לחוק השבות,פלשמורה,,Haifa,312,123456745,123513483,,
הומניטרי,מעמד ילדי זרים,got Jerusalem,Jerusalem,313,555968574,556025312,,
מקלט,דחיית בקשת מקלט לפי סעיף 1 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Tel Aviv,314,441236589,441293327,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight 24hrs,Tel Aviv,315,451263965,451320703,,
עבודה )לרבות ענף הסיעוד( ולימודים,סיעוד הארכת אשרת ב/1 סיעודי,,Beer Sheva,316,441663723,441720461,,
אשרת תייר,סירוב מתן אשרת תייר )כאשר העורר מצוי בארצו(,,Beer Sheva,317,404160630,404217368,,
הרחקה מישראל,אי מתן מענה,,Haifa,318,745263965,745320703,,
אשרת תייר,סירוב הארכת אשרה או רישיון ביקור מסוג ב2( אשרת תייר(,,Tel Aviv,319,876521439,876578177,,
איחוד משפחות,הסדרת מעמד לבן זוג זר הנשוי לאזרח ישראלי לפי נוהל מס' 0008.2.5,got from jerusalem orer not live in jerusalem,Jerusalem,320,112445963,112502701,,
רישום ילדים,רישום ומתן מעמד לקטין שנולד מחוץ לישראל שרק אחד מהוריו רשום כתושב קבע נוהל 5.2.0030 'מס,,Jerusalem,321,232695804,232752542,,
מקלט,דחיית בקשת מקלט לפי סעיף 7 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Jerusalem,322,152683596,152740334,,
עבודה )לרבות ענף הסיעוד( ולימודים,בקשת עובד זר לעבור בין ענפים,,Jerusalem,323,965687452,965744190,,
זיקה לחוק השבות,מעמד לנין של יהודי לפי נוהל מס' 0027.2.5,,Jerusalem,324,569235681,569292419,,
התאזרחות,בקשה להשלמת הליך התאזרחות מכוח סעיף 7 לחוק האזרחות,,Jerusalem,325,589631405,589688143,,
תושבות,נוהל פקיעת רישיון לישיבת קבע מס' 0018.2.5,,Tel Aviv,326,526384560,526441298,,
מחוסרי אזרחות / העדר מסמכי נסיעה,העדר מסמכי נסיעה,,Tel Aviv,327,229985636,230042374,,
הומניטרי,מעמד לנפגעי עבדות /סחר לעבודות כפייה/ סחר בנשים לפי נוהל מס' 0008.3.6,not got Jerusalem,Jerusalem,328,778596402,778653140,,
כניסה לישראל,"סירוב כניסה לישראל כאשר העורר שוהה בנתב""ג או במעבר גבול אחר",,Tel Aviv,329,639685502,639742240,,
הרחקה מישראל,אי מתן מענה,,Tel Aviv,330,490365804,490422542,,
אשרת תייר,סירוב הארכת אשרה או רישיון ביקור מסוג ב2( אשרת תייר(,,Beer Sheva,331,87799888,87856626,,
איחוד משפחות,מעמד לקטין נלווה להליך מדורג,got from jerusalem orer live in jerusalem,Jerusalem,332,234568505,234625243,,
רישום ילדים,רישום ומתן מעמד לקטין שנולד בישראל שרק אחד מהוריו תושב קבע לפי תקנה 12 לתקנות הכניסה לישראל נוהל מס' 0029.2.5,,Jerusalem,333,369595806,369652544,,
מקלט,דחיית בקשת מקלט לפי סעיף 4 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Jerusalem,334,206085401,206142139,,
עבודה )לרבות ענף הסיעוד( ולימודים,בקשת עובד זר לעבור בין ענפים,,Haifa,335,309085605,309142343,,
זיקה לחוק השבות,פלשמורה,,Haifa,336,805263506,805320244,,
כניסה לישראל,"סירוב כניסה לישראל כאשר העורר שוהה בנתב""ג או במעבר גבול אחר",,Tel Aviv,337,123456789,123513527,,
כניסה לישראל,אי מתן מענה,,Tel Aviv,338,852964371,853021109,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight this week,Tel Aviv,339,784554872,784611610,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight 24hrs,Tel Aviv,340,306295841,306352579,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight this week,Tel Aviv,341,629584317,629641055,,
איחוד משפחות,בקשה לשדרוג מעמד,got from jerusalem orer not live in jerusalem,Jerusalem,342,878759624,878816362,,
איחוד משפחות,מעמד לקטין נלווה להליך מדורג,got from jerusalem orer not live in jerusalem,Jerusalem,343,858695741,858752479,,
עבודה )לרבות ענף הסיעוד( ולימודים,מתן והארכת רישיון שהייה מסוג א/2 לתלמידים ולסטודנטים זרים,,Beer Sheva,344,123456745,123513483,,
התאזרחות,אי מתן מענה,,Haifa,345,555968574,556025312,,
זיקה לחוק השבות,פלשמורה,,Haifa,346,441236589,441293327,,
הומניטרי,מעמד ילדי זרים,got Jerusalem,Jerusalem,347,451263965,451320703,,
מקלט,דחיית בקשת מקלט לפי סעיף 1 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Tel Aviv,348,441663723,441720461,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight 24hrs,Tel Aviv,349,404160630,404217368,,
עבודה )לרבות ענף הסיעוד( ולימודים,סיעוד הארכת אשרת ב/1 סיעודי,,Beer Sheva,350,745263965,745320703,,
אשרת תייר,סירוב מתן אשרת תייר )כאשר העורר מצוי בארצו(,,Beer Sheva,351,876521439,876578177,,
הרחקה מישראל,אי מתן מענה,,Haifa,352,112445963,112502701,,
אשרת תייר,סירוב הארכת אשרה או רישיון ביקור מסוג ב2( אשרת תייר(,,Tel Aviv,353,232695804,232752542,,
איחוד משפחות,הסדרת מעמד לבן זוג זר הנשוי לאזרח ישראלי לפי נוהל מס' 0008.2.5,got from jerusalem orer not live in jerusalem,Jerusalem,354,152683596,152740334,,
רישום ילדים,רישום ומתן מעמד לקטין שנולד מחוץ לישראל שרק אחד מהוריו רשום כתושב קבע נוהל 5.2.0030 'מס,,Jerusalem,355,965687452,965744190,,
מקלט,דחיית בקשת מקלט לפי סעיף 7 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Jerusalem,356,569235681,569292419,,
עבודה )לרבות ענף הסיעוד( ולימודים,בקשת עובד זר לעבור בין ענפים,,Jerusalem,357,589631405,589688143,,
זיקה לחוק השבות,מעמד לנין של יהודי לפי נוהל מס' 0027.2.5,,Jerusalem,358,526384560,526441298,,
התאזרחות,בקשה להשלמת הליך התאזרחות מכוח סעיף 7 לחוק האזרחות,,Jerusalem,359,229985636,230042374,,
תושבות,נוהל פקיעת רישיון לישיבת קבע מס' 0018.2.5,,Tel Aviv,360,778596402,778653140,,
מחוסרי אזרחות / העדר מסמכי נסיעה,העדר מסמכי נסיעה,,Tel Aviv,361,639685502,639742240,,
הומניטרי,מעמד לנפגעי עבדות /סחר לעבודות כפייה/ סחר בנשים לפי נוהל מס' 0008.3.6,not got Jerusalem,Jerusalem,362,490365804,490422542,,
כניסה לישראל,"סירוב כניסה לישראל כאשר העורר שוהה בנתב""ג או במעבר גבול אחר",,Tel Aviv,363,87799888,87856626,,
הרחקה מישראל,אי מתן מענה,,Tel Aviv,364,234568505,234625243,,
אשרת תייר,סירוב הארכת אשרה או רישיון ביקור מסוג ב2( אשרת תייר(,,Beer Sheva,365,369595806,369652544,,
איחוד משפחות,מעמד לקטין נלווה להליך מדורג,got from jerusalem orer live in jerusalem,Jerusalem,366,206085401,206142139,,
רישום ילדים,רישום ומתן מעמד לקטין שנולד בישראל שרק אחד מהוריו תושב קבע לפי תקנה 12 לתקנות הכניסה לישראל נוהל מס' 0029.2.5,,Jerusalem,367,309085605,309142343,,
מקלט,דחיית בקשת מקלט לפי סעיף 4 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Jerusalem,368,805263506,805320244,,
עבודה )לרבות ענף הסיעוד( ולימודים,בקשת עובד זר לעבור בין ענפים,,Haifa,369,123456789,123513527,,
זיקה לחוק השבות,פלשמורה,,Haifa,370,852964371,853021109,,
כניסה לישראל,"סירוב כניסה לישראל כאשר העורר שוהה בנתב""ג או במעבר גבול אחר",,Tel Aviv,371,784554872,784611610,,
כניסה לישראל,אי מתן מענה,,Tel Aviv,372,306295841,306352579,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight this week,Tel Aviv,373,629584317,629641055,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight 24hrs,Tel Aviv,374,878759624,878816362,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight this week,Tel Aviv,375,858695741,858752479,,
איחוד משפחות,בקשה לשדרוג מעמד,got from jerusalem orer not live in jerusalem,Jerusalem,376,123456745,123513483,,
איחוד משפחות,מעמד לקטין נלווה להליך מדורג,got from jerusalem orer not live in jerusalem,Jerusalem,377,555968574,556025312,,
עבודה )לרבות ענף הסיעוד( ולימודים,מתן והארכת רישיון שהייה מסוג א/2 לתלמידים ולסטודנטים זרים,,Beer Sheva,378,441236589,441293327,,
התאזרחות,אי מתן מענה,,Haifa,379,451263965,451320703,,
זיקה לחוק השבות,פלשמורה,,Haifa,380,441663723,441720461,,
הומניטרי,מעמד ילדי זרים,got Jerusalem,Jerusalem,381,404160630,404217368,,
מקלט,דחיית בקשת מקלט לפי סעיף 1 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Tel Aviv,382,745263965,745320703,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight 24hrs,Tel Aviv,383,876521439,876578177,,
עבודה )לרבות ענף הסיעוד( ולימודים,סיעוד הארכת אשרת ב/1 סיעודי,,Beer Sheva,384,112445963,112502701,,
אשרת תייר,סירוב מתן אשרת תייר )כאשר העורר מצוי בארצו(,,Beer Sheva,385,232695804,232752542,,
הרחקה מישראל,אי מתן מענה,,Haifa,386,152683596,152740334,,
אשרת תייר,סירוב הארכת אשרה או רישיון ביקור מסוג ב2( אשרת תייר(,,Tel Aviv,387,965687452,965744190,,
איחוד משפחות,הסדרת מעמד לבן זוג זר הנשוי לאזרח ישראלי לפי נוהל מס' 0008.2.5,got from jerusalem orer not live in jerusalem,Jerusalem,388,569235681,569292419,,
רישום ילדים,רישום ומתן מעמד לקטין שנולד מחוץ לישראל שרק אחד מהוריו רשום כתושב קבע נוהל 5.2.0030 'מס,,Jerusalem,389,589631405,589688143,,
מקלט,דחיית בקשת מקלט לפי סעיף 7 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Jerusalem,390,526384560,526441298,,
עבודה )לרבות ענף הסיעוד( ולימודים,בקשת עובד זר לעבור בין ענפים,,Jerusalem,391,229985636,230042374,,
זיקה לחוק השבות,מעמד לנין של יהודי לפי נוהל מס' 0027.2.5,,Jerusalem,392,778596402,778653140,,
התאזרחות,בקשה להשלמת הליך התאזרחות מכוח סעיף 7 לחוק האזרחות,,Jerusalem,393,639685502,639742240,,
תושבות,נוהל פקיעת רישיון לישיבת קבע מס' 0018.2.5,,Tel Aviv,394,490365804,490422542,,
מחוסרי אזרחות / העדר מסמכי נסיעה,העדר מסמכי נסיעה,,Tel Aviv,395,87799888,87856626,,
הומניטרי,מעמד לנפגעי עבדות /סחר לעבודות כפייה/ סחר בנשים לפי נוהל מס' 0008.3.6,not got Jerusalem,Jerusalem,396,234568505,234625243,,
כניסה לישראל,"סירוב כניסה לישראל כאשר העורר שוהה בנתב""ג או במעבר גבול אחר",,Tel Aviv,397,369595806,369652544,,
הרחקה מישראל,אי מתן מענה,,Tel Aviv,398,206085401,206142139,,
אשרת תייר,סירוב הארכת אשרה או רישיון ביקור מסוג ב2( אשרת תייר(,,Beer Sheva,399,309085605,309142343,,
איחוד משפחות,מעמד לקטין נלווה להליך מדורג,got from jerusalem orer live in jerusalem,Jerusalem,400,805263506,805320244,,
רישום ילדים,רישום ומתן מעמד לקטין שנולד בישראל שרק אחד מהוריו תושב קבע לפי תקנה 12 לתקנות הכניסה לישראל נוהל מס' 0029.2.5,,Jerusalem,401,123456789,123513527,,
מקלט,דחיית בקשת מקלט לפי סעיף 4 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Jerusalem,402,852964371,853021109,,
עבודה )לרבות ענף הסיעוד( ולימודים,בקשת עובד זר לעבור בין ענפים,,Haifa,403,784554872,784611610,,
זיקה לחוק השבות,פלשמורה,,Haifa,404,306295841,306352579,,
כניסה לישראל,"סירוב כניסה לישראל כאשר העורר שוהה בנתב""ג או במעבר גבול אחר",,Tel Aviv,405,629584317,629641055,,
כניסה לישראל,אי מתן מענה,,Tel Aviv,406,878759624,878816362,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight this week,Tel Aviv,407,858695741,858752479,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight 24hrs,Tel Aviv,408,123456745,123513483,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight this week,Tel Aviv,409,555968574,556025312,,
איחוד משפחות,בקשה לשדרוג מעמד,got from jerusalem orer not live in jerusalem,Jerusalem,410,441236589,441293327,,
איחוד משפחות,מעמד לקטין נלווה להליך מדורג,got from jerusalem orer not live in jerusalem,Jerusalem,411,451263965,451320703,,
עבודה )לרבות ענף הסיעוד( ולימודים,מתן והארכת רישיון שהייה מסוג א/2 לתלמידים ולסטודנטים זרים,,Beer Sheva,412,441663723,441720461,,
התאזרחות,אי מתן מענה,,Haifa,413,404160630,404217368,,
זיקה לחוק השבות,פלשמורה,,Haifa,414,745263965,745320703,,
הומניטרי,מעמד ילדי זרים,got Jerusalem,Jerusalem,415,876521439,876578177,,
מקלט,דחיית בקשת מקלט לפי סעיף 1 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Tel Aviv,416,112445963,112502701,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight 24hrs,Tel Aviv,417,232695804,232752542,,
עבודה )לרבות ענף הסיעוד( ולימודים,סיעוד הארכת אשרת ב/1 סיעודי,,Beer Sheva,418,152683596,152740334,,
אשרת תייר,סירוב מתן אשרת תייר )כאשר העורר מצוי בארצו(,,Beer Sheva,419,965687452,965744190,,
הרחקה מישראל,אי מתן מענה,,Haifa,420,569235681,569292419,,
אשרת תייר,סירוב הארכת אשרה או רישיון ביקור מסוג ב2( אשרת תייר(,,Tel Aviv,421,589631405,589688143,,
איחוד משפחות,הסדרת מעמד לבן זוג זר הנשוי לאזרח ישראלי לפי נוהל מס' 0008.2.5,got from jerusalem orer not live in jerusalem,Jerusalem,422,526384560,526441298,,
רישום ילדים,רישום ומתן מעמד לקטין שנולד מחוץ לישראל שרק אחד מהוריו רשום כתושב קבע נוהל 5.2.0030 'מס,,Jerusalem,423,229985636,230042374,,
מקלט,דחיית בקשת מקלט לפי סעיף 7 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Jerusalem,424,778596402,778653140,,
עבודה )לרבות ענף הסיעוד( ולימודים,בקשת עובד זר לעבור בין ענפים,,Jerusalem,425,639685502,639742240,,
